INFO:root:got a match in scheme/textbooks/camess9/core 9 teacher ipdfs/contents :-] ('c9', 'gm4', '3')
INFO:root:got a match in scheme/textbooks/camess9/core 9 teacher ipdfs/contents :-] ('c9', 'n1', '1')
INFO:root:got a match in scheme/textbooks/camess9/core 9 teacher ipdfs/contents :-] ('c9', 'n1', '2')
INFO:root:got a match in scheme/textbooks/camess9/core 9 teacher ipdfs/contents :-] ('c9', 'n1', '3')
INFO:root:got a match in scheme/textbooks/camess9/core 9 teacher ipdfs/contents :-] ('c9', 'n2', '1')
INFO:root:got a match in scheme/textbooks/camess9/core 9 teacher ipdfs/contents :-] ('c9', 'n2', '2')
INFO:root:got a match in scheme/textbooks/camess9/core 9 teacher ipdfs/contents :-] ('c9', 'n2', '3')
INFO:root:got a match in scheme/textbooks/camess9/core 9 teacher ipdfs/contents :-] ('c9', 'n3', '1')
INFO:root:got a match in scheme/textbooks/camess9/core 9 teacher ipdfs/contents :-] ('c9', 'n3', '2')
INFO:root:got a match in scheme/textbooks/camess9/core 9 teacher ipdfs/contents :-] ('c9', 'n3', '3')
INFO:root:got a match in scheme/textbooks/camess9/core 9 teacher ipdfs/contents :-] ('c9', 'n4', '1')
INFO:root:got a match in scheme/textbooks/camess9/core 9 teacher ipdfs/contents :-] ('c9', 'n4', '2')
INFO:root:got a match in scheme/textbooks/camess9/core 9 teacher ipdfs/contents :-] ('c9', 's1', '1')
INFO:root:got a match in scheme/textbooks/camess9/core 9 teacher ipdfs/contents :-] ('c9', 's1', '2')
INFO:root:got a match in scheme/textbooks/camess9/core 9 teacher ipdfs/contents :-] ('c9', 's1', '3')
INFO:root:got a match in scheme/textbooks/camess9/core 9 teacher ipdfs/contents :-] ('c9', 's2', '1')
INFO:root:got a match in scheme/textbooks/camess9/core 9 teacher ipdfs/contents :-] ('c9', 's2', '2')
INFO:root:got a match in scheme/textbooks/camess9/core 9 teacher ipdfs/contents :-] ('c9', 's3', '1')
INFO:root:got a match in scheme/textbooks/camess9/core 9 teacher ipdfs/contents :-] ('c9', 's3', '2')
INFO:root:got a match in scheme/textbooks/camess9/extension 9 teacher ipdfs/contents :-] ('e9', 'a1', '1')
INFO:root:got a match in scheme/textbooks/camess9/extension 9 teacher ipdfs/contents :-] ('e9', 'a1', '2')
INFO:root:got a match in scheme/textbooks/camess9/extension 9 teacher ipdfs/contents :-] ('e9', 'a2', '1')
INFO:root:got a match in scheme/textbooks/camess9/extension 9 teacher ipdfs/contents :-] ('e9', 'a2', '2')
INFO:root:got a match in scheme/textbooks/camess9/extension 9 teacher ipdfs/contents :-] ('e9', 'a2', '3')
INFO:root:got a match in scheme/textbooks/camess9/extension 9 teacher ipdfs/contents :-] ('e9', 'a3', '1')
INFO:root:got a match in scheme/textbooks/camess9/extension 9 teacher ipdfs/contents :-] ('e9', 'a3', '2')
INFO:root:got a match in scheme/textbooks/camess9/extension 9 teacher ipdfs/contents :-] ('e9', 'a3', '3')
INFO:root:got a match in scheme/textbooks/camess9/extension 9 teacher ipdfs/contents :-] ('e9', 'a4', '1')
